matnr;werks;mtbez;pstat;lvorm;matkl;wgbez;meins
000000000002000100;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000004000129;ROH;원자재;KDELBVQGC;;P702;1차 가공품;KG
000000000004300001;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300002;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300003;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300004;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300005;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300006;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300007;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300010;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300016;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300018;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300023;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004400001;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400002;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400003;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400004;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400006;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400007;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400008;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400009;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400010;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400011;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400012;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400013;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400018;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
