matnr;werks;lgort;labst;mmsta;dispo;dsnam
000000000002000100;E010;DELBVQG;;;121;Process 완제품
000000000004000129;E010;DELBVQG;;;421;Process 원자재
000000000004000129;E110;DELBVQG;;;421;Process 원자재
000000000004000129;E210;DELBVQG;;;421;Process 원자재
000000000004300001;E010;DELBVQG;;;421;Process 원자재
000000000004300001;E110;DELBVQG;;;421;Process 원자재
000000000004300001;E210;DELBVQG;;;421;Process 원자재
000000000004300002;E010;DELBVQG;;;421;Process 원자재
000000000004300002;E110;DELBVQG;;;421;Process 원자재
000000000004300002;E210;DELBVQG;;;421;Process 원자재
000000000004300003;E010;DELBVQG;;;421;Process 원자재
000000000004300003;E110;DELBVQG;;;421;Process 원자재
000000000004300004;E010;DELBVQG;;;421;Process 원자재
000000000004300004;E210;DELBVQG;;;421;Process 원자재
000000000004300005;E010;DELBVQG;;;421;Process 원자재
000000000004300005;E110;DELBVQG;;;421;Process 원자재
000000000004300005;E210;DELBVQG;;;421;Process 원자재
000000000004300006;E010;DELBVQG;;;421;Process 원자재
000000000004300006;E210;DELBVQG;;;421;Process 원자재
000000000004300007;E010;DELBVQG;;;421;Process 원자재
000000000004300007;E110;DELBVQG;;;421;Process 원자재
000000000004300010;E010;DELBVQG;;;421;Process 원자재
000000000004300010;E110;DELBVQG;;;421;Process 원자재
000000000004300010;E210;DELBVQG;;;421;Process 원자재
000000000004300016;E010;DELBVQG;;;421;Process 원자재
000000000004300016;E110;DELBVQG;;;421;Process 원자재
000000000004300016;E210;DELBVQG;;;421;Process 원자재
000000000004300018;E010;DELBVQG;;;421;Process 원자재
000000000004300018;E210;DELBVQG;;;421;Process 원자재
000000000004300023;E010;DELBVQG;;;421;Process 원자재
000000000004300023;E210;DELBVQG;;;421;Process 원자재
000000000004400001;E010;DELBVQG;;;421;Process 원자재
000000000004400001;E110;DELBVQG;;;421;Process 원자재
000000000004400001;E210;DELBVQG;;;421;Process 원자재
000000000004400002;E010;DELBVQG;;;421;Process 원자재
000000000004400002;E110;DELBVQG;;;421;Process 원자재
000000000004400002;E210;DELBVQG;;;421;Process 원자재
000000000004400003;E010;DELBVQG;;;421;Process 원자재
000000000004400003;E110;DELBVQG;;;421;Process 원자재
000000000004400003;E210;DELBVQG;;;421;Process 원자재
000000000004400004;E010;DELBVQG;;;421;Process 원자재
000000000004400004;E110;DELBVQG;;;421;Process 원자재
000000000004400004;E210;DELBVQG;;;421;Process 원자재
000000000004400006;E010;DELBVQG;;;421;Process 원자재
000000000004400006;E110;DELBVQG;;;421;Process 원자재
000000000004400006;E210;DELBVQG;;;421;Process 원자재
000000000004400007;E010;DELBVQG;;;421;Process 원자재
000000000004400007;E110;DELBVQG;;;421;Process 원자재
000000000004400007;E210;DELBVQG;;;421;Process 원자재
000000000004400008;E010;DELBVQG;;;421;Process 원자재
000000000004400008;E110;DELBVQG;;;421;Process 원자재
000000000004400008;E210;DELBVQG;;;421;Process 원자재
000000000004400009;E010;DELBVQG;;;421;Process 원자재
000000000004400009;E110;DELBVQG;;;421;Process 원자재
000000000004400009;E210;DELBVQG;;;421;Process 원자재
000000000004400010;E010;DELBVQG;;;421;Process 원자재
000000000004400010;E110;DELBVQG;;;421;Process 원자재
000000000004400010;E210;DELBVQG;;;421;Process 원자재
000000000004400011;E010;DELBVQG;;;421;Process 원자재
000000000004400011;E110;DELBVQG;;;421;Process 원자재
000000000004400011;E210;DELBVQG;;;421;Process 원자재
000000000004400012;E010;DELBVQG;;;421;Process 원자재
000000000004400012;E110;DELBVQG;;;421;Process 원자재
000000000004400012;E210;DELBVQG;;;421;Process 원자재
000000000004400013;E010;DELBVQG;;;421;Process 원자재
000000000004400013;E110;DELBVQG;;;421;Process 원자재
000000000004400013;E210;DELBVQG;;;421;Process 원자재
000000000004400018;E010;DELBVQG;;;421;Process 원자재
000000000004400018;E210;DELBVQG;;;421;Process 원자재
