matnr;werks;lgort;labst;umlme;insme;einme;speme;retme
000000000002000100;E010;1100;1500.000;0.000;0.000;0.000;0.000;0.000
000000000002000100;E010;1600;100.000;0.000;0.000;0.000;0.000;0.000
000000000002000100;E010;9680;0.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E010;1100;4050.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E110;1250;20000.000;0.000;20000.000;0.000;0.000;0.000
000000000004000129;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E210;1200;1.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E210;1201;0.000;0.000;0.000;0.000;0.000;0.000
000000000004000129;E210;1216;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300001;E010;1100;-69670;0.000;0.000;0.000;0.000;0.000
000000000004300001;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300001;E110;1250;21213.000;0.000;0.000;0.000;0.000;0.000
000000000004300001;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300001;E210;1200;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300002;E010;1100;-252930;0.000;0.000;0.000;0.000;0.000
000000000004300002;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300002;E110;1250;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300002;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300002;E210;1200;60220.000;0.000;0.000;0.000;0.000;0.000
000000000004300002;E210;1201;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300003;E010;1100;-148870;0.000;0.000;0.000;0.000;0.000
000000000004300003;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300003;E110;1410;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300004;E010;1100;-230690;0.000;0.000;0.000;0.000;0.000
000000000004300004;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300004;E210;1201;60831.000;0.000;0.000;0.000;0.000;0.000
000000000004300005;E010;1100;-167600;0.000;0.000;0.000;0.000;0.000
000000000004300005;E110;2100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300005;E110;2300;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300005;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300005;E210;1211;26748.000;0.000;0.000;0.000;0.000;0.000
000000000004300006;E010;1100;-48250;0.000;0.000;0.000;0.000;0.000
000000000004300006;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300006;E210;1211;40030.000;0.000;0.000;0.000;0.000;0.000
000000000004300007;E010;1100;23700.000;0.000;0.000;0.000;0.000;0.000
000000000004300007;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004300010;E010;1100;-19870;0.000;0.000;0.000;0.000;0.000
000000000004300010;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
