matnr;bwkey;bwtar;stprs;peinh;bklas
000000000002000100;E010;;28000.00;1000;3100
000000000004000129;E010;;15751.13;1000;3000
000000000004000129;E110;;19160.00;1000;3000
000000000004000129;E210;;19160.00;1000;3000
000000000004300001;E010;;6533.28;1000;3010
000000000004300001;E110;;6183.28;1000;3010
000000000004300001;E210;;6183.28;1000;3010
000000000004300002;E010;;6704.61;1000;3010
000000000004300002;E110;;7624.83;1000;3010
000000000004300002;E210;;7624.83;1000;3010
000000000004300003;E010;;7029.79;1000;3010
000000000004300003;E110;;7155.10;1000;3010
000000000004300004;E010;;7194.85;1000;3010
000000000004300004;E210;;8070.59;1000;3010
000000000004300005;E010;;4642.97;1000;3010
000000000004300005;E110;;4492.97;1000;3010
000000000004300005;E210;;4492.97;1000;3010
000000000004300006;E010;;5138.06;1000;3010
000000000004300006;E210;;5538.06;1000;3010
000000000004300007;E010;;4550.02;1000;3010
000000000004300007;E110;;4550.02;1000;3010
000000000004300010;E010;;12800.00;1000;3010
000000000004300010;E110;;12800.00;1000;3010
000000000004300010;E210;;12800.00;1000;3010
000000000004300016;E010;;4050.00;1000;3010
000000000004300016;E110;;7458.68;1000;3010
000000000004300016;E210;;7458.68;1000;3010
000000000004300018;E010;;8493.34;1000;3010
000000000004300018;E210;;8843.34;1000;3010
000000000004300023;E010;;6839.00;1000;3010
000000000004300023;E210;;6839.00;1000;3010
000000000004400001;E010;;2500.00;1000;3010
000000000004400001;E110;;2500.00;1000;3010
000000000004400001;E210;;2500.00;1000;3010
000000000004400002;E010;;2500.00;1000;3010
000000000004400002;E110;;2500.00;1000;3010
000000000004400002;E210;;2500.00;1000;3010
000000000004400003;E010;;1828.88;1000;3010
000000000004400003;E110;;2500.00;1000;3010
000000000004400003;E210;;2500.00;1000;3010
000000000004400004;E010;;2463.92;1000;3010
000000000004400004;E110;;2500.00;1000;3010
000000000004400004;E210;;2500.00;1000;3010
000000000004400006;E010;;0.01;1000;3010
000000000004400006;E110;;0.01;1000;3010
000000000004400006;E210;;0.01;1000;3010
000000000004400007;E010;;0.01;1000;3010
000000000004400007;E110;;0.01;1000;3010
000000000004400007;E210;;0.01;1000;3010
000000000004400008;E010;;0.01;1000;3010
000000000004400008;E110;;0.01;1000;3010
000000000004400008;E210;;0.01;1000;3010
000000000004400009;E010;;1880.00;1000;3010
000000000004400009;E110;;1880.00;1000;3010
000000000004400009;E210;;1880.00;1000;3010
000000000004400010;E010;;1976.28;1000;3010
000000000004400010;E110;;2390.00;1000;3010
000000000004400010;E210;;2390.00;1000;3010
000000000004400011;E010;;2000.00;1000;3010
000000000004400011;E110;;2190.00;1000;3010
000000000004400011;E210;;2190.00;1000;3010
000000000004400012;E010;;1990.00;1000;3010
000000000004400012;E110;;2140.00;1000;3010
000000000004400012;E210;;2140.00;1000;3010
000000000004400013;E010;;750.00;1000;3010
000000000004400013;E110;;750.00;1000;3010
000000000004400013;E210;;750.00;1000;3010
000000000004400018;E010;;3620.00;1000;3010
000000000004400018;E210;;3620.00;1000;3010
