matnr;mtart;mtbez;pstat;lvorm;matkl;wgbez;meins
000000000001000001;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000003;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000007;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000008;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000009;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000010;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000011;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000012;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000013;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000014;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000018;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000020;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000025;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000031;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000032;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000033;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000034;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000035;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000039;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000040;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000041;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000042;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000043;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000044;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000046;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000047;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000048;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000049;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000050;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000051;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000052;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000053;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000056;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000057;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000058;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000059;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000060;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000061;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000062;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000063;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000064;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000065;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000066;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000069;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000070;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000071;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000072;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000073;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000074;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000075;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000076;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000077;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000078;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000079;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000080;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000081;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000082;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000083;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000084;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000085;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000086;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000087;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000088;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000089;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000090;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000091;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000092;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000093;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000094;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000095;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000096;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000097;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000098;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000099;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000100;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000101;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000102;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000103;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000104;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000105;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000106;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000107;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000108;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000109;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000110;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000111;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000112;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000114;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000115;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000116;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000117;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000121;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000122;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000123;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000124;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000125;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000126;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000129;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000130;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000131;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000132;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000133;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000134;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000147;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000153;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000157;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000158;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000159;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000160;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000161;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000162;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000163;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000166;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000168;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000169;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000173;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000177;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000178;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000183;FERT;완제품;KDALBVQGC;;P003;1차 가공품;KG
000000000001000184;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000185;FERT;완제품;KDALBVQGC;;P002;구매자재;KG
000000000001000186;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000187;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000188;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000191;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000193;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000194;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000195;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000197;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000198;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000199;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000200;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000201;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000202;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000204;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000207;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000208;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001000210;FERT;완제품;KDALBVQGC;;P001;2차 가공품;KG
000000000001900000;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900001;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900002;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900005;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900006;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900011;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900012;ZFER;시제품;KLVQ;;P999;기타;KG
000000000001900013;ZFER;시제품;KLVQC;;P999;기타;KG
000000000002000001;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000002;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000003;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000004;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000005;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000006;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000007;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000008;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000009;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000010;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000011;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000012;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000013;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000014;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000015;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000016;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000017;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000018;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000019;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000020;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000021;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000022;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000023;HAWA;교역품;KDELBVQG;;P002;구매자재;KG
000000000002000024;HAWA;교역품;KDELBVQG;;P001;2차 가공품;KG
