matnr;werks;pstat;lvorm;mmsta;dispo;dsnam
000000000001000001;E110;DALBVQG;;;121;Process 肯力前
000000000001000003;E110;DALBVQG;;;121;Process 肯力前
000000000001000007;E110;DALBVQG;;;121;Process 肯力前
000000000001000008;E110;DALBVQG;;;121;Process 肯力前
000000000001000009;E110;DALBVQG;;;121;Process 肯力前
000000000001000010;E110;DALBVQG;;;121;Process 肯力前
000000000001000011;E110;DALBVQG;;;121;Process 肯力前
000000000001000012;E110;DALBVQG;;;121;Process 肯力前
000000000001000013;E110;DALBVQG;;;121;Process 肯力前
000000000001000014;E110;DALBVQG;;;121;Process 肯力前
000000000001000018;E110;DALBVQG;;;121;Process 肯力前
000000000001000020;E110;DALBVQG;;;121;Process 肯力前
000000000001000025;E110;DALBVQG;;;121;Process 肯力前
000000000001000031;E110;DALBVQG;;;121;Process 肯力前
000000000001000032;E110;DALBVQG;;;121;Process 肯力前
000000000001000033;E110;DALBVQG;;;121;Process 肯力前
000000000001000034;E110;DALBVQG;;;121;Process 肯力前
000000000001000035;E110;DALBVQG;;;121;Process 肯力前
000000000001000039;E110;DALBVQG;;;121;Process 肯力前
000000000001000040;E110;DALBVQG;;;121;Process 肯力前
000000000001000041;E110;DALBVQG;;;121;Process 肯力前
000000000001000042;E110;DALBVQG;;;121;Process 肯力前
000000000001000043;E110;DALBVQG;;;121;Process 肯力前
000000000001000044;E110;DALBVQG;;;121;Process 肯力前
000000000001000046;E110;DALBVQG;;;121;Process 肯力前
000000000001000047;E110;DALBVQG;;;121;Process 肯力前
000000000001000048;E110;DALBVQG;;;121;Process 肯力前
000000000001000049;E110;DALBVQG;;;121;Process 肯力前
000000000001000050;E110;DALBVQG;;;121;Process 肯力前
000000000001000051;E110;DALBVQG;;;121;Process 肯力前
000000000001000052;E110;DALBVQG;;;121;Process 肯力前
000000000001000053;E110;DALBVQG;;;121;Process 肯力前
000000000001000056;E110;DALBVQG;;;121;Process 肯力前
000000000001000057;E110;DALBVQG;;;121;Process 肯力前
000000000001000058;E110;DALBVQG;;;121;Process 肯力前
000000000001000059;E110;DALBVQG;;;121;Process 肯力前
000000000001000060;E110;DALBVQG;;;121;Process 肯力前
000000000001000061;E110;DALBVQG;;;121;Process 肯力前
000000000001000062;E110;DALBVQG;;;121;Process 肯力前
000000000001000063;E110;DALBVQG;;;121;Process 肯力前
000000000001000064;E110;DALBVQG;;;121;Process 肯力前
000000000001000065;E110;DALBVQG;;;121;Process 肯力前
000000000001000066;E110;DALBVQG;;;121;Process 肯力前
000000000001000069;E110;DALBVQG;;;121;Process 肯力前
000000000001000070;E110;DALBVQG;;;121;Process 肯力前
000000000001000071;E110;DALBVQG;;;121;Process 肯力前
000000000001000072;E110;DALBVQG;;;121;Process 肯力前
000000000001000073;E110;DALBVQG;;;111;Fine 肯力前
000000000001000074;E110;DALBVQG;;;111;Fine 肯力前
000000000001000075;E110;DALBVQG;;;111;Fine 肯力前
000000000001000076;E110;DALBVQG;;;111;Fine 肯力前
000000000001000077;E110;DALBVQG;;;111;Fine 肯力前
000000000001000078;E110;DALBVQG;;;111;Fine 肯力前
000000000001000079;E110;DALBVQG;;;111;Fine 肯力前
000000000001000080;E110;DALBVQG;;;111;Fine 肯力前
000000000001000081;E110;DALBVQG;;;111;Fine 肯力前
000000000001000082;E110;DALBVQG;;;111;Fine 肯力前
000000000001000083;E110;DALBVQG;;;111;Fine 肯力前
000000000001000084;E110;DALBVQG;;;111;Fine 肯力前
