matnr;bwkey;bwtar;stprs;peinh;bklas
000000000001000001;E110;;22919.6;1000;7920
000000000001000003;E110;;29002.41;1000;7920
000000000001000007;E110;;42428.04;1000;7920
000000000001000008;E110;;46142.49;1000;7920
000000000001000009;E110;;92126.81;1000;7920
000000000001000010;E110;;42809.09;1000;7920
000000000001000011;E110;;37065.86;1000;7920
000000000001000012;E110;;7290.26;1000;7920
000000000001000013;E110;;14004.09;1000;7920
000000000001000014;E110;;7219.63;1000;7920
000000000001000018;E110;;8976.75;1000;7920
000000000001000020;E110;;165710.47;1000;7920
000000000001000025;E110;;143236.98;1000;7920
000000000001000031;E110;;28131.91;1000;7920
000000000001000032;E110;;31500.49;1000;7920
000000000001000033;E110;;78542.16;1000;7920
000000000001000034;E110;;15319.55;1000;7920
000000000001000035;E110;;11937.12;1000;7920
000000000001000039;E110;;26145.74;1000;7920
000000000001000040;E110;;96113.31;1000;7920
000000000001000041;E110;;29482.94;1000;7920
000000000001000042;E110;;23509.28;1000;7920
000000000001000043;E110;;102593.84;1000;7920
000000000001000044;E110;;26805.26;1000;7920
000000000001000046;E110;;20229.82;1000;7920
000000000001000047;E110;;33762.56;1000;7920
000000000001000048;E110;;158818.16;1000;7920
000000000001000049;E110;;383163.74;1000;7920
000000000001000050;E110;;217959.83;1000;7920
000000000001000051;E110;;126990.53;1000;7920
000000000001000052;E110;;120689.09;1000;7920
000000000001000053;E110;;119298.88;1000;7920
000000000001000056;E110;;8076.65;1000;7920
000000000001000057;E110;;23213.15;1000;7920
000000000001000058;E110;;21611.46;1000;7920
000000000001000059;E110;;99100.75;1000;7920
000000000001000060;E110;;50699.55;1000;7920
000000000001000061;E110;;23281.42;1000;7920
000000000001000062;E110;;51645.16;1000;7920
000000000001000063;E110;;6949.54;1000;7920
000000000001000064;E110;;8594.49;1000;7920
000000000001000065;E110;;34621.6;1000;7920
000000000001000066;E110;;31779.71;1000;7920
000000000001000069;E110;;16249.29;1000;7920
000000000001000070;E110;;21877.31;1000;7920
000000000001000071;E110;;12760.23;1000;7920
000000000001000072;E110;;14032.84;1000;7920
000000000001000073;E110;;2686904.78;1000;7920
000000000001000074;E110;;1016264.28;1000;7920
000000000001000075;E110;;8617870.05;1000;7920
000000000001000076;E110;;6159061.1;1000;7920
000000000001000077;E110;;5331608.22;1000;7920
000000000001000078;E110;;28955961.56;1000;7920
000000000001000079;E110;;11448158.85;1000;7920
000000000001000080;E110;;226742.02;1000;7920
000000000001000081;E110;;2600234.6;1000;7920
000000000001000082;E110;;1044600.26;1000;7920
000000000001000083;E110;;4683366.12;1000;7920
000000000001000084;E110;;28133074.76;1000;7920
000000000001000085;E110;;44780678.92;1000;7920
000000000001000086;E110;;20690327.49;1000;7920
000000000001000087;E110;;5648422.45;1000;7920
000000000001000088;E110;;6921025.88;1000;7920
000000000001000089;E110;;4049689.18;1000;7920
000000000001000090;E110;;11017634.23;1000;7920
000000000001000091;E110;;103578.32;1000;7920
000000000001000092;E110;;102085.64;1000;7920
000000000001000093;E110;;116902255.83;1000;7920
000000000001000094;E110;;1029385.2;1000;7920
000000000001000095;E110;;3237564.95;1000;7920
000000000001000096;E110;;13901516.71;1000;7920
000000000001000097;E110;;22010245.77;1000;7920
000000000001000098;E110;;11195524.17;1000;7920
000000000001000099;E110;;30356980.22;1000;7920
000000000001000100;E110;;4569936.27;1000;7920
000000000001000101;E110;;18758136.96;1000;7920
000000000001000102;E110;;4569936.27;1000;7920
000000000001000103;E110;;4635113.6;1000;7920
000000000001000104;E110;;3491630.93;1000;7920
000000000001000105;E110;;5822508.32;1000;7920
000000000001000106;E110;;19008820.54;1000;7920
000000000001000107;E110;;15245471.89;1000;7920
000000000001000108;E110;;93367241.96;1000;7920
000000000001000109;E110;;235400828.57;1000;7920
000000000001000110;E110;;2385023.91;1000;7920
000000000001000111;E110;;8345652.53;1000;7920
000000000001000112;E110;;4223735.87;1000;7920
000000000001000114;E110;;8738449.06;1000;7920
000000000001000115;E110;;28427.09;1000;7920
000000000001000116;E110;;167252.4;1000;7920
000000000001000117;E110;;164658;1000;7920
000000000001000121;E110;;10391140.75;1000;7920
000000000001000122;E110;;25891971.69;1000;7920
000000000001000123;E110;;4904726.96;1000;7920
000000000001000124;E110;;2385023.91;1000;7920
000000000001000125;E110;;28688.52;1000;7920
000000000001000126;E110;;20852.58;1000;7920
000000000001000129;E110;;950653.1;1000;7920
000000000001000130;E110;;40069993.15;1000;7920
000000000001000131;E110;;2686904.78;1000;7920
000000000001000132;E110;;75163.78;1000;7920
000000000001000133;E110;;120689.09;1000;7920
000000000001000134;E110;;12689.48;1000;7920
000000000001000142;E110;;17431.07;1000;7920
000000000001000143;E110;;17431.07;1000;7920
000000000001000147;E110;;11684.82;1000;7920
000000000001000153;E110;;31275.68;1000;7920
000000000001000157;E110;;17431.07;1000;7920
000000000001000158;E110;;205490.28;1000;7920
000000000001000159;E110;;150825.12;1000;7920
000000000001000160;E110;;473997.66;1000;7920
000000000001000161;E110;;273263.44;1000;7920
000000000001000162;E110;;403996.36;1000;7920
000000000001000163;E110;;179725.79;1000;7920
000000000001000166;E110;;9349.54;1000;7920
000000000001000168;E110;;18758136.96;1000;7920
000000000001000169;E110;;16335.84;1000;7920
000000000001000173;E110;;12290.08;1000;7920
000000000001000177;E110;;3884115.2;1000;7920
000000000001000178;E110;;200802.01;1000;7920
000000000001000183;E110;;3871436.7;1000;7920
000000000001000184;E110;;25891971.69;1000;7920
000000000001000185;E110;;25364.21;1000;7920
000000000001000186;E110;;127159.63;1000;7920
000000000001000187;E110;;32783.02;1000;7920
000000000001000188;E110;;23509.28;1000;7920
000000000001000191;E110;;5931.92;1000;7920
000000000001000193;E110;;18655.93;1000;7920
000000000001000194;E110;;22364.21;1000;7920
000000000001000195;E110;;76627768.46;1000;7920
000000000001000197;E110;;43868.72;1000;7920
000000000001000198;E110;;28636.46;1000;7920
000000000001000199;E110;;20852.58;1000;7920
000000000001000200;E110;;44709112.11;1000;7920
000000000001000201;E110;;20690327.49;1000;7920
000000000001000202;E110;;61339516.24;1000;7920
000000000001000204;E110;;57932692.75;1000;7920
000000000001000207;E110;;39238.57;1000;7920
000000000001000208;E110;;21039027.81;1000;7920
000000000001000210;E110;;20362.47;1000;7920
000000000002000001;E110;;847700;1000;3100
000000000002000002;E110;;788600;1000;3100
000000000002000003;E110;;727269.23;1000;3100
000000000002000004;E110;;609900;1000;3100
000000000002000005;E110;;559840;1000;3100
000000000002000006;E110;;1066300;1000;3100
000000000002000007;E110;;501800;1000;3100
000000000002000008;E110;;380686.36;1000;3100
000000000002000009;E110;;506026.67;1000;3100
000000000002000010;E110;;435337.5;1000;3100
000000000002000011;E110;;885000;1000;3100
000000000002000012;E110;;872600;1000;3100
000000000002000013;E110;;374600;1000;3100
000000000002000014;E110;;628500;1000;3100
000000000002000015;E110;;369200;1000;3100
000000000002000016;E110;;593200;1000;3100
000000000002000017;E110;;334600;1000;3100
000000000002000018;E110;;807100;1000;3100
000000000002000019;E110;;383600;1000;3100
000000000002000020;E110;;462200;1000;3100
000000000002000021;E110;;853264.71;1000;3100
000000000002000022;E110;;896800;1000;3100
000000000002000023;E110;;579213.64;1000;3100
000000000002000024;E110;;7285186.92;1000;3100
000000000002000025;E110;;14956073.33;1000;3100
000000000002000026;E110;;8000000;1000;3100
000000000002000027;E110;;21850;1000;3100
000000000002000029;E110;;16480667.63;1000;3100
000000000002000036;E110;;7650;1000;3100
000000000002000041;E110;;1655111.11;1000;3100
000000000002000043;E110;;3729;1000;3100
000000000002000044;E110;;907500;1000;3100
000000000002000045;E110;;791000;1000;3100
000000000002000050;E110;;744282.08;1000;3100
000000000002000051;E110;;658494.68;1000;3100
000000000002000052;E110;;604600;1000;3100
000000000002000053;E110;;657299.08;1000;3100
000000000002000054;E110;;593986.78;1000;3100
000000000002000055;E110;;917500;1000;3100
000000000002000056;E110;;847500;1000;3100
000000000002000057;E110;;703200;1000;3100
000000000002000058;E110;;595800;1000;3100
000000000002000059;E110;;617400;1000;3100
000000000002000060;E110;;716100;1000;3100
000000000002000061;E110;;398200;1000;3100
000000000002000062;E110;;601300;1000;3100
000000000002000063;E110;;675400;1000;3100
000000000002000064;E110;;2132800;1000;3100
000000000002000065;E110;;812300;1000;3100
000000000002000066;E110;;399400;1000;3100
000000000002000067;E110;;464200;1000;3100
000000000002000068;E110;;473400;1000;3100
000000000002000069;E110;;459400;1000;3100
000000000002000070;E110;;578200;1000;3100
000000000002000071;E110;;806400;1000;3100
000000000002000072;E110;;820500;1000;3100
000000000002000073;E110;;777300;1000;3100
000000000002000074;E110;;780000;1000;3100
000000000002000075;E110;;850500;1000;3100
000000000002000076;E110;;787100;1000;3100
000000000002000078;E110;;761300;1000;3100
000000000002000079;E110;;566500;1000;3100
000000000002000081;E110;;13390;1000;3100
000000000002000083;E110;;16729.56;1000;3100
000000000002000084;E110;;14465.41;1000;3100
