mblnr;mjahr;zeile;bwart;matnr;werks;lgort;sobkz;shkzg;bwtar;menge;meins;bustm;ummat;umwrk;umlgo
4900553948;2019;1;931;000000000001000018;E110;1860;;H;;3876;KG;MA01;;;
4900553949;2019;1;931;000000000001000018;E110;1860;;H;;11628;KG;MA01;;;
4900554030;2019;1;601;000000000001000194;E110;1300;;H;;882;KG;MA01;;;
4900554031;2019;1;601;000000000001000071;E110;1840;;H;;16239.6;KG;MA01;;;
4900554032;2019;1;931;000000000001000063;E110;1300;;H;;400;KG;MA01;;;
4900554032;2019;2;931;000000000001000063;E110;1300;;H;;2800;KG;MA01;;;
4900554033;2019;1;931;000000000001000003;E110;1300;;H;;2340;KG;MA01;;;
4900554034;2019;1;601;000000000001000126;E110;1300;;H;;2450;KG;MA01;;;
4900554035;2019;1;931;000000000001000061;E110;1300;;H;;700;KG;MA01;;;
4900554036;2019;1;601;000000000001000126;E110;1300;;H;;1400;KG;MA01;;;
4900554037;2019;1;931;000000000001000010;E110;1300;;H;;840;KG;MA01;;;
4900554038;2019;1;601;000000000001000126;E110;1300;;H;;3150;KG;MA01;;;
4900554039;2019;1;931;000000000001000051;E110;1300;;H;;718.08;KG;MA01;;;
4900554039;2019;2;931;000000000001000051;E110;1300;;H;;143.616;KG;MA01;;;
4900554040;2019;1;931;000000000001000042;E110;1300;;H;;3700;KG;MA01;;;
4900554041;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554042;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554043;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554194;2019;1;321;000000000001000071;E110;1840;;H;;16239.6;KG;MQF7;000000000001000071;E110;1840
4900554194;2019;2;321;000000000001000071;E110;1840;;S;;16239.6;KG;MQF7;000000000001000071;E110;1840
4900554197;2019;1;321;000000000004000191;E110;1200;;H;;20440;KG;MQF7;000000000004000191;E110;1200
4900554197;2019;2;321;000000000004000191;E110;1200;;S;;20440;KG;MQF7;000000000004000191;E110;1200
4900554198;2019;1;321;000000000004000130;E110;1260;;H;;20570;KG;MQF7;000000000004000130;E110;1260
4900554198;2019;2;321;000000000004000130;E110;1260;;S;;20570;KG;MQF7;000000000004000130;E110;1260
4900554199;2019;1;321;000000000004300003;E110;1100;;H;;20430;KG;MQF7;000000000004300003;E110;1100
4900554199;2019;2;321;000000000004300003;E110;1100;;S;;20430;KG;MQF7;000000000004300003;E110;1100
4900554205;2019;1;601;000000000001000194;E110;1300;;H;;882;KG;MA01;;;
4900554206;2019;1;601;000000000001000126;E110;1300;;H;;700;KG;MA01;;;
4900554207;2019;1;931;000000000001000003;E110;1300;;H;;780;KG;MA01;;;
4900554207;2019;2;931;000000000001000003;E110;1300;;H;;1560;KG;MA01;;;
4900554208;2019;1;601;000000000001000063;E110;1300;;H;;400;KG;MA01;;;
4900554209;2019;1;601;000000000001000042;E110;1300;;H;;2220;KG;MA01;;;
4900554215;2019;1;321;000000000001000018;E110;1860;;H;;15988.5;KG;MQF7;000000000001000018;E110;1860
4900554215;2019;2;321;000000000001000018;E110;1860;;S;;15988.5;KG;MQF7;000000000001000018;E110;1860
4900554216;2019;1;601;000000000001000126;E110;1300;;H;;3500;KG;MA01;;;
4900554228;2019;1;261;000000000003000004;E110;1430;;H;;4200;KG;MA01;;;
4900554229;2019;1;261;000000000003000011;E110;1570;;H;;8000;KG;MA01;;;
4900554229;2019;2;261;000000000005000002;E110;1100;;H;;40;EA;MA01;;;
4900554240;2019;1;261;000000000003000012;E110;1470;;H;;8400;KG;MA01;;;
4900554241;2019;1;261;000000000003000013;E110;1500;;H;;1000;KG;MA01;;;
4900554245;2019;1;932;000000000001000018;E110;1860;;S;;3876;KG;MA01;;;
4900554246;2019;1;931;000000000001000018;E110;1860;;H;;3808.17;KG;MA01;;;
4900554250;2019;1;601;000000000001000063;E110;1300;;H;;1200;KG;MA01;;;
4900554251;2019;1;931;000000000001000063;E110;1300;;H;;3200;KG;MA01;;;
4900554252;2019;1;931;000000000001000031;E110;1300;;H;;760;KG;MA01;;;
4900554253;2019;1;631;000000000001000025;E110;1300;;H;;68;KG;MAV4;000000000001000025;E110;
4900554253;2019;2;631;000000000001000025;E110;;W;S;;68;KG;MAV4;000000000001000025;E110;1300
4900554254;2019;1;931;000000000001000042;E110;1300;;H;;2220;KG;MA01;;;
4900554255;2019;1;931;000000000001000042;E110;1300;;H;;1480;KG;MA01;;;
4900554256;2019;1;931;000000000001000042;E110;1300;;H;;3700;KG;MA01;;;
4900554257;2019;1;601;000000000001000126;E110;1300;;H;;1050;KG;MA01;;;
4900554258;2019;1;931;000000000001000125;E110;1300;;H;;2220;KG;MA01;;;
4900554258;2019;2;931;000000000001000125;E110;1300;;H;;740;KG;MA01;;;
4900554259;2019;1;931;000000000001000051;E110;1300;;H;;143.616;KG;MA01;;;
4900554260;2019;1;931;000000000001000056;E110;1300;;H;;4000;KG;MA01;;;
4900554260;2019;2;931;000000000001000056;E110;1300;;H;;4000;KG;MA01;;;
4900554261;2019;1;931;000000000001000044;E110;1300;;H;;4440;KG;MA01;;;
4900554262;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554263;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554264;2019;1;931;000000000001000188;E110;1300;;H;;3700;KG;MA01;;;
4900554266;2019;1;931;000000000001000123;E110;2300;;H;;60;KG;MA01;;;
4900554266;2019;2;931;000000000001000123;E110;2300;;H;;60;KG;MA01;;;
4900554278;2019;1;321;000000000004000118;E110;1210;;H;;50000;KG;MQF7;000000000004000118;E110;1210
4900554278;2019;2;321;000000000004000118;E110;1210;;S;;50000;KG;MQF7;000000000004000118;E110;1210
4900554304;2019;1;321;000000000001000010;E110;1300;;H;;4200;KG;MQF7;000000000001000010;E110;1300
4900554304;2019;2;321;000000000001000010;E110;1300;;S;;4200;KG;MQF7;000000000001000010;E110;1300
4900554305;2019;1;261;000000000006000001;E110;1100;;H;;7396.7;KG;MA01;;;
4900554305;2019;2;261;000000000004000167;E110;1100;;H;;994;KG;MA01;;;
4900554305;2019;3;261;000000000004000151;E110;1100;;H;;2.5;KG;MA01;;;
4900554305;2019;4;261;000000000003000012;E110;1480;;H;;1120.049;KG;MA01;;;
4900554306;2019;1;261;000000000003000012;E110;1480;;H;;6000;KG;MA01;;;
4900554307;2019;1;261;000000000006000001;E110;1100;;H;;7400.7;KG;MA01;;;
4900554307;2019;2;261;000000000004000167;E110;1100;;H;;989;KG;MA01;;;
4900554307;2019;3;261;000000000004000151;E110;1100;;H;;2.5;KG;MA01;;;
4900554307;2019;4;261;000000000003000012;E110;1470;;H;;1124.851;KG;MA01;;;
4900554311;2019;1;321;000000000004000118;E110;1210;;H;;14242;KG;MQF7;000000000004000118;E110;1210
4900554311;2019;2;321;000000000004000118;E110;1210;;S;;14242;KG;MQF7;000000000004000118;E110;1210
4900554336;2019;1;321;000000000001000187;E110;1300;;H;;1000;KG;MQF7;000000000001000187;E110;1300
4900554336;2019;2;321;000000000001000187;E110;1300;;S;;1000;KG;MQF7;000000000001000187;E110;1300
4900554338;2019;1;321;000000000001000191;E110;1300;;H;;6000;KG;MQF7;000000000001000191;E110;1300
4900554338;2019;2;321;000000000001000191;E110;1300;;S;;6000;KG;MQF7;000000000001000191;E110;1300
4900554340;2019;1;321;000000000001000063;E110;1300;;H;;8400;KG;MQF7;000000000001000063;E110;1300
4900554340;2019;2;321;000000000001000063;E110;1300;;S;;8400;KG;MQF7;000000000001000063;E110;1300
4900554342;2019;1;321;000000000001000056;E110;1300;;H;;8000;KG;MQF7;000000000001000056;E110;1300
4900554342;2019;2;321;000000000001000056;E110;1300;;S;;8000;KG;MQF7;000000000001000056;E110;1300
4900554375;2019;1;321;000000000001000086;E110;2300;;H;;30.2;KG;MQF7;000000000001000086;E110;2300
4900554375;2019;2;321;000000000001000086;E110;2300;;S;;30.2;KG;MQF7;000000000001000086;E110;2300
4900554380;2019;1;939;000000000001000086;E110;2300;;H;;0.2;KG;MA01;;;
4900554381;2019;1;631;000000000001000086;E110;2300;;H;;30;KG;MAV4;000000000001000086;E110;
4900554381;2019;2;631;000000000001000086;E110;;W;S;;30;KG;MAV4;000000000001000086;E110;2300
4900554384;2019;1;939;000000000001000085;E110;2300;;H;;0.05;KG;MA01;;;
4900554385;2019;1;631;000000000001000085;E110;2300;;H;;8.5;KG;MAV4;000000000001000085;E110;
4900554385;2019;2;631;000000000001000085;E110;;W;S;;8.5;KG;MAV4;000000000001000085;E110;2300
4900554404;2019;1;601;000000000002000081;E110;1100;;H;;12860;KG;MA01;;;
4900554405;2019;1;601;000000000002000081;E110;1100;;H;;8200;KG;MA01;;;
